Id,Course_Id,Course_Name,Sentiment,Review_Text,Instructor_Name,Difficulty_Level,Workload,Course_Year
1,PS,Psychology,positive,This Psychology course was informative.,Prof. Smith,Easy,High,2024
2,PH,Physics,positive,This Physics course was informative.,Ms. Kalyani Jha,Easy,Low,2023
3,MA,Mathematics,neutral,This Mathematics course was decent.,Mr. Shishirendu Jha,Moderate,Medium,2023
4,LI,Literature,neutral,This Literature course was so-so.,Prof. Johnson,Moderate,High,2024
5,HI,History,negative,This History course was disappointing.,Ms. Dhanya Patil D,Easy,Low,2023
6,LI,Literature,neutral,This Literature course was so-so.,Ms. Brown,Difficult,Medium,2024
7,EC,Economics,neutral,This Economics course was so-so.,Mr. Davis,Moderate,High,2023
8,ML,Machine Learning,negative,This Machine Learning course was unclear.,Ms. Rashi A,Difficult,High,2023
9,PS,Psychology,negative,This Psychology course was unorganized.,Mr. Mohit Jain,Difficult,High,2023
10,BI,Biology,positive,This Biology course was informative.,Ms. Mukul S,Difficult,High,2024
11,SE,Software Engineering,negative,This Software Engineering course was difficult.,Prof. Johnson,Moderate,Medium,2023
12,MA,Mathematics,negative,This Mathematics course was boring.,Ms. Arpita S C,Easy,High,2023
13,PS,Psychology,neutral,This Psychology course was decent.,Ms. Divya P D,Difficult,Medium,2023
14,HI,History,positive,This History course was informative.,Mr. Amitesh Jha,Difficult,Low,2024
15,SE,Software Engineering,negative,This Software Engineering course was unclear.,Ms. Dhanya Patil D,Easy,Low,2024
16,BI,Biology,neutral,This Biology course was fair.,Ms. Arpita S C,Easy,Medium,2023
17,SE,Software Engineering,negative,This Software Engineering course was difficult.,Mr. Kunal Taneja,Moderate,Medium,2024
18,ML,Machine Learning,positive,This Machine Learning course was engaging.,Ms. Mukul S,Moderate,Low,2023
19,BI,Biology,positive,This Biology course was great.,Mr. Aditya Kumar,Easy,Low,2024
20,HI,History,positive,This History course was great.,Ms. Arpita S C,Difficult,Low,2024
21,CS,Computer Science,neutral,This Computer Science course was fair.,Ms. Rashi A,Moderate,High,2023
22,MA,Mathematics,neutral,This Mathematics course was so-so.,Mr. Amitesh Jha,Difficult,Medium,2024
23,DS,Data Science,negative,This Data Science course was unclear.,Mr. Mohit Jain,Moderate,Medium,2023
24,DS,Data Science,positive,This Data Science course was engaging.,Mr. Shishirendu Jha,Moderate,Low,2023
25,EC,Economics,negative,This Economics course was unorganized.,Prof. Smith,Easy,High,2024
26,PS,Psychology,positive,This Psychology course was interesting.,Ms. Dhanya Patil D,Easy,High,2024
27,BI,Biology,positive,This Biology course was great.,Ms. Kalyani Jha,Moderate,Medium,2023
28,SE,Software Engineering,positive,This Software Engineering course was great.,Mr. Mohit Jain,Moderate,Medium,2023
29,ML,Machine Learning,negative,This Machine Learning course was disappointing.,Ms. Ishu C,Easy,Medium,2024
30,EC,Economics,neutral,This Economics course was average.,Ms. Divya P D,Moderate,Medium,2023
31,PS,Psychology,negative,This Psychology course was disappointing.,Ms. Ruchika Gupta C,Moderate,High,2024
